ID,Tweets
1336408457101062151,"b'Goh, sommige volgers van #viruswaarheid #stopwillemengel zijn dan nu toch eindelijk ook tot het \xe2\x80\x9csatanistenleger\xe2\x80\x9c t\xe2\x80\xa6 https://t.co/5KbxzvvsYF'"
1336384037661904897,"b'#Viruswaarheid #WakeUp #Riseup hoe houd Rutte die ongelooflijke bullshit vol, wat zit er voor hem in, de landverrader'"
1336363907112460292,b'#82 Dansen met Willem Engel \n\nhttps://t.co/6sU7ZhjbMU via @YouTube \n\n#engel #viruswaarheid #baudet #trump #biden #wilders'
1336255744967110658,b'@NDikkeboom @Anouk @jochemmyjer Okee. Dus op #viruswaarheid \n\nJa denk het eigenlijk ook wel dat Jochem Twitter lees\xe2\x80\xa6 https://t.co/tkKUS9XZuP'
1336054169493512192,b'RT @ArjanMuyen: @AnneliesdeZeeuw @hommel_b #Tijdrekken kan alleen als er gewacht wordt. \n#NietWachten dus maar doorgaan. Met #experimenten\xe2\x80\xa6'
1336034483783524352,b'@AnneliesdeZeeuw @hommel_b #Tijdrekken kan alleen als er gewacht wordt. \n#NietWachten dus maar doorgaan. Met\xe2\x80\xa6 https://t.co/CqqZDmWVBh'
1336021763512266760,b'Geen ruimte voor versoepelingen. Focus eens niet op #besmettingen \n\n#coronamaatregelen #ditisergerdandekwaal\xe2\x80\xa6 https://t.co/oEiyv9B1ui'
1335916147628236800,"b""@skogherre @helena_is_here Mijn hart zegt 'Nee'. Mijn verstand zegt 'Denk aan de mensen die ze gaan besmetten en ha\xe2\x80\xa6 https://t.co/X2VbeE6dOz"""
1335870982066671617,"b""Wat is er mis met deze #annemarievangaal?\n\nZe wil dat IEDEREEN ZSM EEN #Vaccin KRIJGT.\n\n'dan kan alles weer open' (\xe2\x80\xa6 https://t.co/vzXgGc1DOO"""
1335742433481658378,b'@PoempieIoempie Marcel Levi zei in een  praatprogramma dat hij het Oxford vaccin heeft gehad.\n=\nDr. James Lyons-Mey\xe2\x80\xa6 https://t.co/yVTN4m6QAP'
1335693570347585537,"b'@NOS Oh. Dus daarom worden de geluiden van Caf\xc3\xa9 #Weltschmertz, van Pieter #Borger, van Flavio #Pascini, de limburgs\xe2\x80\xa6 https://t.co/Rc3QmTxZEn'"
1335605560989933569,b'@Solana1983 Ik denk het ook want Agenda 2021 moet er hoe dan ook doorgedrukt worden. Daarbij zal elke rechter die b\xe2\x80\xa6 https://t.co/dGR53ERt0t'
1335604201955667970,b'Was gezellig in #nunspeet gisteren zo te zien.\n\n#coronamaatregelen #viruswaarheid #stopdelockdown #mondkapjesplicht https://t.co/FpHoGRoSTM'
1335600309620576258,"b'In WNL op zondag, werd  vanmorgen op tv verklaard dat we ook na de verplichte vaccinatie niet terug gaan naar norma\xe2\x80\xa6 https://t.co/ovL0RfLHvm'"
1335573650158874630,b'Als de #antivaxxers inge\xc3\xabnt moeten worden. #viruswaanzin  #viruswaarheid or whatever. https://t.co/N0GfHR4gGK'
1335556481530404864,"b'Opvallend hoe @mauricedehond \nhet hele verhaal van de PCR test heeft gemist,\neen niet aangetoond virus\neen niet wer\xe2\x80\xa6 https://t.co/zwpMM2e4hp'"
1335490956058091521,b'De echte reden waarom #WillemEngel zo stil is.\n#viruswaarheid https://t.co/01LJ1dTHOi'
1335181390070079490,b'Vanaf minuut 34 \n\n#PCRGATE \n#viruswaarheid\n#coronamaatregelen\n\nhttps://t.co/G5W6muLMO4\xe2\x80\xa6'
1334897331842535424,"b'@viruswaarheid Is dat nou die liefde waar #willemengelsekteleider #stopwillemengel altijd over spreekt, iemand bela\xe2\x80\xa6 https://t.co/X0I8FTNndn'"
1334892476759347202,"b'@3Groter @JumboSupermarkt @WybrenvanHaga Discriminatie, artikel 1 grondwet. Daarbij kent men niet de reden voor het\xe2\x80\xa6 https://t.co/MJkHdaWHZd'"
1334886552166686728,b'@WappieT \xe2\x80\x9cVertrouw #viruswaanzin #viruswaarheid niet!\xe2\x80\x9d'
1334873805358047232,"b'#LangeFrnas, #Viruswaarheid #Ongehoord zijn gevaarlijk en dienen en worden geweerd maar #Vindcat????!!!!!'"
1334852413182910464,b'@ArchibaldBalla1 @NUnl Wat een onzin. Dit is een misdaad door viruswappies van #viruswaarheid #viruswaanzin en aanh\xe2\x80\xa6 https://t.co/JizvHr0nOP'
1334844010372927488,"b'Allemaal rapporteren alsjeblieft.\nviruswaarheid/Willem Engel wordt steeds radicaler, gaan steeds meer, via sneaky b\xe2\x80\xa6 https://t.co/jgDZ6LlUV7'"
1334842874022797312,b'@Anti4uswaanzin Allemaal rapporteren \n\n#viruswaarheid\n\n#stopwillemengel \n\n#willemengelsekteleider'
1334807114418692097,b'Voor de mensen die nog steeds denken dat corona hetzelfde is als griep. Significante oversterfte dit jaar MET maatr\xe2\x80\xa6 https://t.co/qVCYZi24rP'
1334756180967780352,"b'Je mag het vast niet zeggen, maar het zal wel weer white trash zijn die hier achter zit. Types van #fdf,\xe2\x80\xa6 https://t.co/zIVQTt5Eaw'"
1334756039007367174,b'@landing_de Anonieme accountjes die deze bedreigingen goedpraten. #viruswaarheid #viruswaanzin aanhangers laten wee\xe2\x80\xa6 https://t.co/q03fonfC63'
1334522908291571714,b'Wat ziet Willem @dancalegria het toch goed he! #viruswaarheid #viruswaanzin https://t.co/kA6P0a9FZv'
1334521125527805953,b'Correctie @tvoost: die kop moet zijn: \xe2\x80\x9cdiscipel van #Engel pleegt aanslag op supermarkt.\xe2\x80\x9d #VirusWaarheid\xe2\x80\xa6 https://t.co/l3xI6mdt10'
1334516176093900800,b'RT @JIP_JANNEKE: Beste nieuws van vandaag! \n#viruswaarheid #viruswaanzin #complotdenkers #idioten  https://t.co/toqBceVL58'
1334515152973148163,b'Beste nieuws van vandaag! \n#viruswaarheid #viruswaanzin #complotdenkers #idioten  https://t.co/toqBceVL58'
1334498949697318912,"b'RT @CarolineVonhoff: @IkNet Een #vaccin nemen waarvan men zegt dat het 90% effectief is tegen een ziekte waartegen je immuunsysteem 99,9999\xe2\x80\xa6'"
1334486168738672641,"b'RT @CarolineVonhoff: @IkNet Een #vaccin nemen waarvan men zegt dat het 90% effectief is tegen een ziekte waartegen je immuunsysteem 99,9999\xe2\x80\xa6'"
1334479987974561795,b'#viruswaarheid #gelegenheid #ditismijnzorg #WakeUp #RiseUp  Jahoor het is zover: EU avondklok voor iedereen waarschijnlijk vanaf 8/12 \xf0\x9f\x98\xa1'
1334453531357704193,"b'@IkNet Een #vaccin nemen waarvan men zegt dat het 90% effectief is tegen een ziekte waartegen je immuunsysteem 99,9\xe2\x80\xa6 https://t.co/fln52Fsry3'"
1334231836550172688,b'We doen het voor de zorg... toch\n\nhttps://t.co/SNa3Sx1p3W\n\n#Jensen in tha house... #Viruswaarheid'
1334167280834514946,b'Betrouwbare en onbetrouwbare bronnen. #Nederland #viruswaarheid #complottheorie  https://t.co/le7Oeh83kY'
1334119656366493696,"b'""Een klant met mondkapje weet hoe het zit: Hier komen alleen maar verstandige mensen.\xe2\x80\x99\xe2\x80\x99\n\n@Librisnieuws - Boekhandel\xe2\x80\xa6 https://t.co/j6J0GlxwST'"
1334019653677555712,b'RT @Momootjem: School in Amstelveen roept scholieren op elkaar te verklikken bij het niet dragen van een mondkap. Terug te zien in de zoom\xe2\x80\xa6'
1333939742744961024,"b'RT @mijntwiets: @rivliv Schandalig! En hier stond politie Den haag een paar weken geleden bij en keek er naar, een manifestatie/festival va\xe2\x80\xa6'"
1333862538686164993,b'#viruswaarheid #WakeUp #RiseUp #ditismijnzorg Retraction paper daar moeten we zeker wel 8 weken opwachten voor goedkeuring?'
1333861971171610626,"b'#viruswaarheid #WakeUp #gelehesjes #ditismijnzorg Wanneer stopt men met PCR tests, 4500 positieve ONZIN STOPPEN NU gvd.'"
1333860914718773249,b'RT @Momootjem: School in Amstelveen roept scholieren op elkaar te verklikken bij het niet dragen van een mondkap. Terug te zien in de zoom\xe2\x80\xa6'
1333850977305243658,b'School in Amstelveen roept scholieren op elkaar te verklikken bij het niet dragen van een mondkap. Terug te zien in\xe2\x80\xa6 https://t.co/WOZIW0KzqJ'
1333835866209447944,b'Ik heb dit Twitter account aangemaakt om mijn zelfgemaakte meme te delen. #mondkapjesplicht #viruswaanzin\xe2\x80\xa6 https://t.co/PvykBgfFQ2'
1333779652574277637,"b'@telegraaf Ik had het al gelezen.\nIk heb begrip voor een aantal regels, maar d\xc3\xadt gaat z\xc3\xa9lfs mij te ver!\n\nEen paar w\xe2\x80\xa6 https://t.co/vyu4B7Vf9S'"
1333760291071553543,"b'@rivliv Schandalig! En hier stond politie Den haag een paar weken geleden bij en keek er naar, een manifestatie/fes\xe2\x80\xa6 https://t.co/ASc9gAleE3'"
1333755071457337345,b'@wouterkeller COVID is WEL besmettelijk! Hoe komt u er bij dat het allemaal wel meevalt? #viruswaarheid #vrijheid\xe2\x80\xa6 https://t.co/drvEiDowdW'
1333685216280530950,b'#vvd #viruswaarheid #gelehesjes #WakeUp Het is mij nu wel duidelijk waarom Dijkhof uit de politiek is. Hij stond hier niet achter.'
1333684157021626368,"b'#viruswaarheid #vvd #gelehesjes #WakeUp \xef\xbf\xbcHet is ongelooflijk 1 dec mondkapjes plicht, terwijl duidelijk is dat PCR test totale bullshit is.\xf0\x9f\x98\xa1'"
1333521119157116933,b'Tinus Koops opgepakt.\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n#viruswaarheid \n#viruswaanzin \n#willemengel is de volgende.\n@willem_engel'
1333494067330768897,"b'RT @Zeemeermin6: Beste mensen van #viruswaarheid of eigenlijk #viruswaanzin, het is niet dat ik een geen hekel heb aan de corona-maatregele\xe2\x80\xa6'"
1333484981553917956,b'#omroepbrabant #viruswaarheid Omroepbrabant zijn jullie slecht ge\xc3\xafnformeerd of willen jullie bij MSM horen ? PCR tests zijn onzin.'
1333427507396276225,"b'#viruswaarheid #ditismijnzorg #WakeUp #RiseUp #gelehesjes redding is nabij, retraction paper is onderweg. PCRtest is dus gewoon een fucktest'"
1333299462840741891,"b'RT @ter_borgh: Hello Tweeps, wij zijn bezig met een kortgeding tegen de mondkapjes plicht op school. Help ons om de strijd aan te gaan tege\xe2\x80\xa6'"
1333200028454805511,"b'@Sunlioness1 @WybrenvanHaga Wel belangrijk element voor in de rechtszaak die nu dient, ingediend door\xe2\x80\xa6 https://t.co/EidTO1M6fp'"
